dataset,experience,label,file,score,burst,old_shortlist,new_shortlist,previous_judge_pick,new_reason,expression,interaction,gesture
Botlierskop,all,hippopotamus,P9051536.JPG,2.124,13,True,True,False,Scene representative,0.027723029255867004,0.006617729552090168,0.01122159045189619
Botlierskop,all,hippopotamus,P9051535.JPG,2.023,13,True,True,True,Independent aesthetic nomination,0.024090198799967766,0.010353926569223404,0.010821221396327019
Botlierskop,all,hippopotamus,P9051533.JPG,1.922,13,True,True,False,Protected quality allocation,0.035465918481349945,0.0002814335748553276,0.013586310669779778
Botlierskop,all,hippopotamus,P9051537.JPG,1.884,13,True,True,False,Protected quality allocation,0.023789841681718826,0.008302781730890274,0.011418705806136131
Botlierskop,all,hippopotamus,P9051532.JPG,1.794,13,True,True,False,Protected quality allocation,0.035627540200948715,0.006844191811978817,0.015163534320890903
Botlierskop,all,hippopotamus,P9051549.JPG,1.753,13,True,True,False,Protected quality allocation,0.03298458829522133,0.0034402282908558846,0.006504281423985958
Botlierskop,all,hippopotamus,P9051523.JPG,1.728,13,True,True,False,Protected quality allocation,0.021699365228414536,0.0029616644605994225,0.009453723207116127
Botlierskop,all,hippopotamus,P9051531.JPG,1.703,13,True,True,False,Protected quality allocation,0.027077000588178635,-0.0013139517977833748,0.008901861496269703
Botlierskop,all,hippopotamus,P9051541.JPG,1.624,13,True,True,False,Protected quality allocation,0.03770751878619194,0.011922442354261875,0.011159882880747318
Botlierskop,all,hippopotamus,P9051539.JPG,1.609,13,True,True,False,Protected quality allocation,0.03199058771133423,0.009115681052207947,0.013295212760567665
Botlierskop,all,hippopotamus,P9051530.JPG,1.598,13,True,True,False,Protected quality allocation,0.02445487678050995,-0.002593143843114376,0.01148315705358982
Botlierskop,all,hippopotamus,P9051609.JPG,1.57,17,True,True,False,Protected quality allocation,0.024159647524356842,0.00837402418255806,-0.007314450107514858
Botlierskop,all,hippopotamus,P9051551.JPG,1.552,13,True,True,False,Protected quality allocation,0.03056924417614937,-0.009457511827349663,0.009188396856188774
Botlierskop,all,hippopotamus,P9051534.JPG,1.543,13,True,True,False,Protected quality allocation,0.035456106066703796,0.006247419398277998,0.01244714017957449
Botlierskop,all,hippopotamus,P9051538.JPG,1.538,13,True,True,False,Protected quality allocation,0.023956099525094032,0.011214316822588444,0.013094350695610046
Botlierskop,all,hippopotamus,P9051545.JPG,1.471,13,True,True,False,Protected quality allocation,0.036369260400533676,0.007990230806171894,0.011798109859228134
